Year,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Atlantic,3507.87,3334.98,3627.74,3694.69,3797.37,3836.57,3992.99,4543.85,5323.58,5498.5,4650.9,4889.5,5147.9,5405,5632.1,6094.6,6544.60
Bergen,3161.13,3231.28,3292.1,3267.9,3292.25,3279.66,7281.21,7844.77,8448.98,8966.9,9378.9,9738.6,10113.9,10326.8,10476.9,10642,10825.60
Burlington,3493.31,3571.89,3641.73,3748.45,3906.36,4168.22,4614.69,4932.06,5295.95,5595.4,5727.3,5815.8,6027.4,6081.5,6169,6254.1,6288.90
Camden,4141.63,4223.25,4379.21,4568.96,4804.84,5082.47,4187.34,4494.91,4878.93,5103.5,5311.3,5428.9,5670.6,5859.2,5968.9,5957.3,6098.60
Cape May,2162.32,2192.33,2169.49,2034.91,2195.59,1818.79,3483.1,3629.16,3731.21,3878,4103.8,4305.4,4435,4473.6,4497.5,4557.1,4650.80
Cumberland,5148.74,5306.27,5223.47,5094.9,3893.63,4086.94,2618.25,2921.07,3250.96,3401.4,3595.2,3677,3782.7,3856.8,3869.2,3706,3796.90
Essex,8687.09,8907.74,9153.17,8641.64,7608.67,5728.69,6947.86,7315.58,7844.48,8400.5,9136.7,9505.3,10202.3,10515.6,10705.2,10590.1,10895.70
Gloucester,4372.99,4396.7,4571.88,4720.93,4026.71,4373.1,4121.88,4468.78,4819.17,5142.5,5516.7,5714.3,5963.8,5855.2,5912,6079.6,6232.50
Hudson,4306.23,4322.59,4542.98,4542.11,5145.56,5268.02,4973.65,5153.66,5542.34,5927.7,6293.5,6686.2,7031.4,7151.4,7304.5,7467.2,8033.60
Hunterdon,3250.24,3368.67,3522.87,3495.87,3140.72,2991.34,7240.06,7680.94,8199.73,8570.9,8687.8,8818.6,8930.5,8931.3,8908.5,8968.9,9020.40
Mercer,4142.69,3561.31,3644.3,3785.18,4065.85,4274.04,5440.1,5805.01,6164.05,6417.7,6769.8,6956,7332.3,7449,7587.8,7735.8,7812.10
Middlesex,3985.43,3925.18,4058.93,4208.33,4544.95,4780.43,5071.58,5403.47,5742,6122.8,6374.1,6667.9,6846.6,7155.2,7274,7402.7,7541.40
Monmouth,3310.13,3363.31,3493.27,3647.53,3635.66,3609,6303.53,6668.33,6976.87,7337,7563.8,7735.5,7998,8120.6,8215.6,8306.7,8448.00
Morris,3414.05,3354.15,3204.13,3222.47,3050.03,2913.5,6762.55,7284.22,7849.38,8289.7,8670.1,8919.8,9133.3,9318.5,9395.6,9547,9665.70
Ocean,2948.56,3024.09,3062.33,3157.91,3191,3318.58,3963.72,4282.01,4497.44,4706.3,4943.3,5018.4,5268.6,5440.3,5528.5,5469.6,5718.90
Passaic,4281.67,4343.8,4499.66,4626.49,4951.92,5208.05,6216.07,6630.17,7118.19,7376.5,7774.6,8020.4,8443,8873.1,9184.3,9368,9571.90
Salem,3891.09,4008.47,4241.25,4514.84,3965.89,4196.62,3346.44,3625.52,3917.66,4180.6,4436.5,4469.1,4530.8,4631.8,4769.6,4870.9,4944.40
Somerset,2866.29,2870.96,2856.92,2557.14,2650.25,2632.05,6930.41,7585.55,8017.55,8363,8540.1,8422.8,8581.6,8745.5,8921.9,9082.6,9269.30
Sussex,4157.08,4293.19,4440.23,4686.92,3892.64,4030.65,5243.56,5465.79,5765.04,6089,6307.8,6566.8,6795.2,7001.2,7115.8,7144.1,7242.60
Union,4771.9,4647.39,4762.25,5043.81,5524.4,5975.21,6615.61,7009.28,7491.84,7911.5,8337.9,8639.1,9057.1,9472.3,9657.9,9932.2,10241.50
Warren,3252.79,3240.29,3375.79,3405.49,3606.02,3298.17,4766.22,5129.22,5502.43,5847.2,6053.7,6213,6242.2,6290.5,6359.3,6399.2,6594.20
AvG,3964.44,3975.61,4083.99,4126.97,4042.40,4041.43,5243.85,5613.02,6017.99,6339.36,6579.70,6771.83,7025.44,7188.30,7307.34,7408.37,7592.27
