Year,Atlantic,Bergen,Burlington,Camden,Cape May,Cumberland,Essex,Gloucester,Hudson,Hunterdon,Mercer,Middlesex,Monmouth,Morris,Ocean,Passaic,Salem,Somerset,Sussex,Union,Warren,AVG
1998,3507.87,3161.13,3493.31,4141.63,2162.32,5148.74,8687.09,4372.99,4306.23,3250.24,4142.69,3985.43,3310.13,3414.05,2948.56,4281.67,3891.09,2866.29,4157.08,4771.9,3252.79,3964.44
1999,3334.98,3231.28,3571.89,4223.25,2192.33,5306.27,8907.74,4396.7,4322.59,3368.67,3561.31,3925.18,3363.31,3354.15,3024.09,4343.8,4008.47,2870.96,4293.19,4647.39,3240.29,3975.61
2000,3627.74,3292.1,3641.73,4379.21,2169.49,5223.47,9153.17,4571.88,4542.98,3522.87,3644.3,4058.93,3493.27,3204.13,3062.33,4499.66,4241.25,2856.92,4440.23,4762.25,3375.79,4083.99
2001,3694.69,3267.9,3748.45,4568.96,2034.91,5094.9,8641.64,4720.93,4542.11,3495.87,3785.18,4208.33,3647.53,3222.47,3157.91,4626.49,4514.84,2557.14,4686.92,5043.81,3405.49,4126.97
2002,3797.37,3292.25,3906.36,4804.84,2195.59,3893.63,7608.67,4026.71,5145.56,3140.72,4065.85,4544.95,3635.66,3050.03,3191,4951.92,3965.89,2650.25,3892.64,5524.4,3606.02,4042.4
2003,3836.57,3279.66,4168.22,5082.47,1818.79,4086.94,5728.69,4373.1,5268.02,2991.34,4274.04,4780.43,3609,2913.5,3318.58,5208.05,4196.62,2632.05,4030.65,5975.21,3298.17,4041.43
2004,3992.99,7281.21,4614.69,4187.34,3483.1,2618.25,6947.86,4121.88,4973.65,7240.06,5440.1,5071.58,6303.53,6762.55,3963.72,6216.07,3346.44,6930.41,5243.56,6615.61,4766.22,5243.85
2005,4543.85,7844.77,4932.06,4494.91,3629.16,2921.07,7315.58,4468.78,5153.66,7680.94,5805.01,5403.47,6668.33,7284.22,4282.01,6630.17,3625.52,7585.55,5465.79,7009.28,5129.22,5613.02
2006,5323.58,8448.98,5295.95,4878.93,3731.21,3250.96,7844.48,4819.17,5542.34,8199.73,6164.05,5742,6976.87,7849.38,4497.44,7118.19,3917.66,8017.55,5765.04,7491.84,5502.43,6017.99
2007,5498.5,8966.9,5595.4,5103.5,3878,3401.4,8400.5,5142.5,5927.7,8570.9,6417.7,6122.8,7337,8289.7,4706.3,7376.5,4180.6,8363,6089,7911.5,5847.2,6339.36
2008,4650.9,9378.9,5727.3,5311.3,4103.8,3595.2,9136.7,5516.7,6293.5,8687.8,6769.8,6374.1,7563.8,8670.1,4943.3,7774.6,4436.5,8540.1,6307.8,8337.9,6053.7,6579.7
2009,4889.5,9738.6,5815.8,5428.9,4305.4,3677,9505.3,5714.3,6686.2,8818.6,6956,6667.9,7735.5,8919.8,5018.4,8020.4,4469.1,8422.8,6566.8,8639.1,6213,6771.83
2010,5147.9,10113.9,6027.4,5670.6,4435,3782.7,10202.3,5963.8,7031.4,8930.5,7332.3,6846.6,7998,9133.3,5268.6,8443,4530.8,8581.6,6795.2,9057.1,6242.2,7025.44
2011,5405,10326.8,6081.5,5859.2,4473.6,3856.8,10515.6,5855.2,7151.4,8931.3,7449,7155.2,8120.6,9318.5,5440.3,8873.1,4631.8,8745.5,7001.2,9472.3,6290.5,7188.3
2012,5632.1,10476.9,6169,5968.9,4497.5,3869.2,10705.2,5912,7304.5,8908.5,7587.8,7274,8215.6,9395.6,5528.5,9184.3,4769.6,8921.9,7115.8,9657.9,6359.3,7307.34
2013,6094.6,10642,6254.1,5957.3,4557.1,3706,10590.1,6079.6,7467.2,8968.9,7735.8,7402.7,8306.7,9547,5469.6,9368,4870.9,9082.6,7144.1,9932.2,6399.2,7408.37
2014,6544.6,10825.6,6288.9,6098.6,4650.8,3796.9,10895.7,6232.5,8033.6,9020.4,7812.1,7541.4,8448,9665.7,5718.9,9571.9,4944.4,9269.3,7242.6,10241.5,6594.2,7592.27
,,,,,,,,,,,,,,,,,,,,,,
Year,County,AVG Tax,,,,,,,,,,,,,,,,,,,,
1998,Atlantic,3507.87,,,,,,,,,,,,,,,,,,,,
1998,Bergen,3161.13,,,,,,,,,,,,,,,,,,,,
1998,Burlington,3493.31,,,,,,,,,,,,,,,,,,,,
1998,Camden,4141.63,,,,,,,,,,,,,,,,,,,,
1998,Cape May,2162.32,,,,,,,,,,,,,,,,,,,,
1998,Cumberland,5148.74,,,,,,,,,,,,,,,,,,,,
1998,Essex,8687.09,,,,,,,,,,,,,,,,,,,,
1998,Gloucester,4372.99,,,,,,,,,,,,,,,,,,,,
1998,Hudson,4306.23,,,,,,,,,,,,,,,,,,,,
1998,Hunterdon,3250.24,,,,,,,,,,,,,,,,,,,,
1998,Mercer,4142.69,,,,,,,,,,,,,,,,,,,,
1998,Middlesex,3985.43,,,,,,,,,,,,,,,,,,,,
1998,Monmouth,3310.13,,,,,,,,,,,,,,,,,,,,
1998,Morris,3414.05,,,,,,,,,,,,,,,,,,,,
1998,Ocean,2948.56,,,,,,,,,,,,,,,,,,,,
1998,Passaic,4281.67,,,,,,,,,,,,,,,,,,,,
1998,Salem,3891.09,,,,,,,,,,,,,,,,,,,,
1998,Somerset,2866.29,,,,,,,,,,,,,,,,,,,,
1998,Sussex,4157.08,,,,,,,,,,,,,,,,,,,,
1998,Union,4771.9,,,,,,,,,,,,,,,,,,,,
1998,Warren,3252.79,,,,,,,,,,,,,,,,,,,,
1998,AVG,3964.44,,,,,,,,,,,,,,,,,,,,
1999,Atlantic,3334.98,,,,,,,,,,,,,,,,,,,,
1999,Bergen,3231.28,,,,,,,,,,,,,,,,,,,,
1999,Burlington,3571.89,,,,,,,,,,,,,,,,,,,,
1999,Camden,4223.25,,,,,,,,,,,,,,,,,,,,
1999,Cape May,2192.33,,,,,,,,,,,,,,,,,,,,
1999,Cumberland,5306.27,,,,,,,,,,,,,,,,,,,,
1999,Essex,8907.74,,,,,,,,,,,,,,,,,,,,
1999,Gloucester,4396.7,,,,,,,,,,,,,,,,,,,,
1999,Hudson,4322.59,,,,,,,,,,,,,,,,,,,,
1999,Hunterdon,3368.67,,,,,,,,,,,,,,,,,,,,
1999,Mercer,3561.31,,,,,,,,,,,,,,,,,,,,
1999,Middlesex,3925.18,,,,,,,,,,,,,,,,,,,,
1999,Monmouth,3363.31,,,,,,,,,,,,,,,,,,,,
1999,Morris,3354.15,,,,,,,,,,,,,,,,,,,,
1999,Ocean,3024.09,,,,,,,,,,,,,,,,,,,,
1999,Passaic,4343.8,,,,,,,,,,,,,,,,,,,,
1999,Salem,4008.47,,,,,,,,,,,,,,,,,,,,
1999,Somerset,2870.96,,,,,,,,,,,,,,,,,,,,
1999,Sussex,4293.19,,,,,,,,,,,,,,,,,,,,
1999,Union,4647.39,,,,,,,,,,,,,,,,,,,,
1999,Warren,3240.29,,,,,,,,,,,,,,,,,,,,
1999,AVG,3975.61,,,,,,,,,,,,,,,,,,,,
2000,Atlantic,3627.74,,,,,,,,,,,,,,,,,,,,
2000,Bergen,3292.1,,,,,,,,,,,,,,,,,,,,
2000,Burlington,3641.73,,,,,,,,,,,,,,,,,,,,
2000,Camden,4379.21,,,,,,,,,,,,,,,,,,,,
2000,Cape May,2169.49,,,,,,,,,,,,,,,,,,,,
2000,Cumberland,5223.47,,,,,,,,,,,,,,,,,,,,
2000,Essex,9153.17,,,,,,,,,,,,,,,,,,,,
2000,Gloucester,4571.88,,,,,,,,,,,,,,,,,,,,
2000,Hudson,4542.98,,,,,,,,,,,,,,,,,,,,
2000,Hunterdon,3522.87,,,,,,,,,,,,,,,,,,,,
2000,Mercer,3644.3,,,,,,,,,,,,,,,,,,,,
2000,Middlesex,4058.93,,,,,,,,,,,,,,,,,,,,
2000,Monmouth,3493.27,,,,,,,,,,,,,,,,,,,,
2000,Morris,3204.13,,,,,,,,,,,,,,,,,,,,
2000,Ocean,3062.33,,,,,,,,,,,,,,,,,,,,
2000,Passaic,4499.66,,,,,,,,,,,,,,,,,,,,
2000,Salem,4241.25,,,,,,,,,,,,,,,,,,,,
2000,Somerset,2856.92,,,,,,,,,,,,,,,,,,,,
2000,Sussex,4440.23,,,,,,,,,,,,,,,,,,,,
2000,Union,4762.25,,,,,,,,,,,,,,,,,,,,
2000,Warren,3375.79,,,,,,,,,,,,,,,,,,,,
2000,AVG,4083.99,,,,,,,,,,,,,,,,,,,,
2001,Atlantic,3694.69,,,,,,,,,,,,,,,,,,,,
2001,Bergen,3267.9,,,,,,,,,,,,,,,,,,,,
2001,Burlington,3748.45,,,,,,,,,,,,,,,,,,,,
2001,Camden,4568.96,,,,,,,,,,,,,,,,,,,,
2001,Cape May,2034.91,,,,,,,,,,,,,,,,,,,,
2001,Cumberland,5094.9,,,,,,,,,,,,,,,,,,,,
2001,Essex,8641.64,,,,,,,,,,,,,,,,,,,,
2001,Gloucester,4720.93,,,,,,,,,,,,,,,,,,,,
2001,Hudson,4542.11,,,,,,,,,,,,,,,,,,,,
2001,Hunterdon,3495.87,,,,,,,,,,,,,,,,,,,,
2001,Mercer,3785.18,,,,,,,,,,,,,,,,,,,,
2001,Middlesex,4208.33,,,,,,,,,,,,,,,,,,,,
2001,Monmouth,3647.53,,,,,,,,,,,,,,,,,,,,
2001,Morris,3222.47,,,,,,,,,,,,,,,,,,,,
2001,Ocean,3157.91,,,,,,,,,,,,,,,,,,,,
2001,Passaic,4626.49,,,,,,,,,,,,,,,,,,,,
2001,Salem,4514.84,,,,,,,,,,,,,,,,,,,,
2001,Somerset,2557.14,,,,,,,,,,,,,,,,,,,,
2001,Sussex,4686.92,,,,,,,,,,,,,,,,,,,,
2001,Union,5043.81,,,,,,,,,,,,,,,,,,,,
2001,Warren,3405.49,,,,,,,,,,,,,,,,,,,,
2001,AVG,4126.97,,,,,,,,,,,,,,,,,,,,
2002,Atlantic,3797.37,,,,,,,,,,,,,,,,,,,,
2002,Bergen,3292.25,,,,,,,,,,,,,,,,,,,,
2002,Burlington,3906.36,,,,,,,,,,,,,,,,,,,,
2002,Camden,4804.84,,,,,,,,,,,,,,,,,,,,
2002,Cape May,2195.59,,,,,,,,,,,,,,,,,,,,
2002,Cumberland,3893.63,,,,,,,,,,,,,,,,,,,,
2002,Essex,7608.67,,,,,,,,,,,,,,,,,,,,
2002,Gloucester,4026.71,,,,,,,,,,,,,,,,,,,,
2002,Hudson,5145.56,,,,,,,,,,,,,,,,,,,,
2002,Hunterdon,3140.72,,,,,,,,,,,,,,,,,,,,
2002,Mercer,4065.85,,,,,,,,,,,,,,,,,,,,
2002,Middlesex,4544.95,,,,,,,,,,,,,,,,,,,,
2002,Monmouth,3635.66,,,,,,,,,,,,,,,,,,,,
2002,Morris,3050.03,,,,,,,,,,,,,,,,,,,,
2002,Ocean,3191,,,,,,,,,,,,,,,,,,,,
2002,Passaic,4951.92,,,,,,,,,,,,,,,,,,,,
2002,Salem,3965.89,,,,,,,,,,,,,,,,,,,,
2002,Somerset,2650.25,,,,,,,,,,,,,,,,,,,,
2002,Sussex,3892.64,,,,,,,,,,,,,,,,,,,,
2002,Union,5524.4,,,,,,,,,,,,,,,,,,,,
2002,Warren,3606.02,,,,,,,,,,,,,,,,,,,,
2002,AVG,4042.40,,,,,,,,,,,,,,,,,,,,
2003,Atlantic,3836.57,,,,,,,,,,,,,,,,,,,,
2003,Bergen,3279.66,,,,,,,,,,,,,,,,,,,,
2003,Burlington,4168.22,,,,,,,,,,,,,,,,,,,,
2003,Camden,5082.47,,,,,,,,,,,,,,,,,,,,
2003,Cape May,1818.79,,,,,,,,,,,,,,,,,,,,
2003,Cumberland,4086.94,,,,,,,,,,,,,,,,,,,,
2003,Essex,5728.69,,,,,,,,,,,,,,,,,,,,
2003,Gloucester,4373.1,,,,,,,,,,,,,,,,,,,,
2003,Hudson,5268.02,,,,,,,,,,,,,,,,,,,,
2003,Hunterdon,2991.34,,,,,,,,,,,,,,,,,,,,
2003,Mercer,4274.04,,,,,,,,,,,,,,,,,,,,
2003,Middlesex,4780.43,,,,,,,,,,,,,,,,,,,,
2003,Monmouth,3609,,,,,,,,,,,,,,,,,,,,
2003,Morris,2913.5,,,,,,,,,,,,,,,,,,,,
2003,Ocean,3318.58,,,,,,,,,,,,,,,,,,,,
2003,Passaic,5208.05,,,,,,,,,,,,,,,,,,,,
2003,Salem,4196.62,,,,,,,,,,,,,,,,,,,,
2003,Somerset,2632.05,,,,,,,,,,,,,,,,,,,,
2003,Sussex,4030.65,,,,,,,,,,,,,,,,,,,,
2003,Union,5975.21,,,,,,,,,,,,,,,,,,,,
2003,Warren,3298.17,,,,,,,,,,,,,,,,,,,,
2003,AVG,4041.43,,,,,,,,,,,,,,,,,,,,
2004,Atlantic,3992.99,,,,,,,,,,,,,,,,,,,,
2004,Bergen,7281.21,,,,,,,,,,,,,,,,,,,,
2004,Burlington,4614.69,,,,,,,,,,,,,,,,,,,,
2004,Camden,4187.34,,,,,,,,,,,,,,,,,,,,
2004,Cape May,3483.1,,,,,,,,,,,,,,,,,,,,
2004,Cumberland,2618.25,,,,,,,,,,,,,,,,,,,,
2004,Essex,6947.86,,,,,,,,,,,,,,,,,,,,
2004,Gloucester,4121.88,,,,,,,,,,,,,,,,,,,,
2004,Hudson,4973.65,,,,,,,,,,,,,,,,,,,,
2004,Hunterdon,7240.06,,,,,,,,,,,,,,,,,,,,
2004,Mercer,5440.1,,,,,,,,,,,,,,,,,,,,
2004,Middlesex,5071.58,,,,,,,,,,,,,,,,,,,,
2004,Monmouth,6303.53,,,,,,,,,,,,,,,,,,,,
2004,Morris,6762.55,,,,,,,,,,,,,,,,,,,,
2004,Ocean,3963.72,,,,,,,,,,,,,,,,,,,,
2004,Passaic,6216.07,,,,,,,,,,,,,,,,,,,,
2004,Salem,3346.44,,,,,,,,,,,,,,,,,,,,
2004,Somerset,6930.41,,,,,,,,,,,,,,,,,,,,
2004,Sussex,5243.56,,,,,,,,,,,,,,,,,,,,
2004,Union,6615.61,,,,,,,,,,,,,,,,,,,,
2004,Warren,4766.22,,,,,,,,,,,,,,,,,,,,
2004,AVG,5243.85,,,,,,,,,,,,,,,,,,,,
2005,Atlantic,4543.85,,,,,,,,,,,,,,,,,,,,
2005,Bergen,7844.77,,,,,,,,,,,,,,,,,,,,
2005,Burlington,4932.06,,,,,,,,,,,,,,,,,,,,
2005,Camden,4494.91,,,,,,,,,,,,,,,,,,,,
2005,Cape May,3629.16,,,,,,,,,,,,,,,,,,,,
2005,Cumberland,2921.07,,,,,,,,,,,,,,,,,,,,
2005,Essex,7315.58,,,,,,,,,,,,,,,,,,,,
2005,Gloucester,4468.78,,,,,,,,,,,,,,,,,,,,
2005,Hudson,5153.66,,,,,,,,,,,,,,,,,,,,
2005,Hunterdon,7680.94,,,,,,,,,,,,,,,,,,,,
2005,Mercer,5805.01,,,,,,,,,,,,,,,,,,,,
2005,Middlesex,5403.47,,,,,,,,,,,,,,,,,,,,
2005,Monmouth,6668.33,,,,,,,,,,,,,,,,,,,,
2005,Morris,7284.22,,,,,,,,,,,,,,,,,,,,
2005,Ocean,4282.01,,,,,,,,,,,,,,,,,,,,
2005,Passaic,6630.17,,,,,,,,,,,,,,,,,,,,
2005,Salem,3625.52,,,,,,,,,,,,,,,,,,,,
2005,Somerset,7585.55,,,,,,,,,,,,,,,,,,,,
2005,Sussex,5465.79,,,,,,,,,,,,,,,,,,,,
2005,Union,7009.28,,,,,,,,,,,,,,,,,,,,
2005,Warren,5129.22,,,,,,,,,,,,,,,,,,,,
2005,AVG,5613.02,,,,,,,,,,,,,,,,,,,,
2006,Atlantic,5323.58,,,,,,,,,,,,,,,,,,,,
2006,Bergen,8448.98,,,,,,,,,,,,,,,,,,,,
2006,Burlington,5295.95,,,,,,,,,,,,,,,,,,,,
2006,Camden,4878.93,,,,,,,,,,,,,,,,,,,,
2006,Cape May,3731.21,,,,,,,,,,,,,,,,,,,,
2006,Cumberland,3250.96,,,,,,,,,,,,,,,,,,,,
2006,Essex,7844.48,,,,,,,,,,,,,,,,,,,,
2006,Gloucester,4819.17,,,,,,,,,,,,,,,,,,,,
2006,Hudson,5542.34,,,,,,,,,,,,,,,,,,,,
2006,Hunterdon,8199.73,,,,,,,,,,,,,,,,,,,,
2006,Mercer,6164.05,,,,,,,,,,,,,,,,,,,,
2006,Middlesex,5742,,,,,,,,,,,,,,,,,,,,
2006,Monmouth,6976.87,,,,,,,,,,,,,,,,,,,,
2006,Morris,7849.38,,,,,,,,,,,,,,,,,,,,
2006,Ocean,4497.44,,,,,,,,,,,,,,,,,,,,
2006,Passaic,7118.19,,,,,,,,,,,,,,,,,,,,
2006,Salem,3917.66,,,,,,,,,,,,,,,,,,,,
2006,Somerset,8017.55,,,,,,,,,,,,,,,,,,,,
2006,Sussex,5765.04,,,,,,,,,,,,,,,,,,,,
2006,Union,7491.84,,,,,,,,,,,,,,,,,,,,
2006,Warren,5502.43,,,,,,,,,,,,,,,,,,,,
2006,AVG,6017.99,,,,,,,,,,,,,,,,,,,,
2007,Atlantic,5498.5,,,,,,,,,,,,,,,,,,,,
2007,Bergen,8966.9,,,,,,,,,,,,,,,,,,,,
2007,Burlington,5595.4,,,,,,,,,,,,,,,,,,,,
2007,Camden,5103.5,,,,,,,,,,,,,,,,,,,,
2007,Cape May,3878,,,,,,,,,,,,,,,,,,,,
2007,Cumberland,3401.4,,,,,,,,,,,,,,,,,,,,
2007,Essex,8400.5,,,,,,,,,,,,,,,,,,,,
2007,Gloucester,5142.5,,,,,,,,,,,,,,,,,,,,
2007,Hudson,5927.7,,,,,,,,,,,,,,,,,,,,
2007,Hunterdon,8570.9,,,,,,,,,,,,,,,,,,,,
2007,Mercer,6417.7,,,,,,,,,,,,,,,,,,,,
2007,Middlesex,6122.8,,,,,,,,,,,,,,,,,,,,
2007,Monmouth,7337,,,,,,,,,,,,,,,,,,,,
2007,Morris,8289.7,,,,,,,,,,,,,,,,,,,,
2007,Ocean,4706.3,,,,,,,,,,,,,,,,,,,,
2007,Passaic,7376.5,,,,,,,,,,,,,,,,,,,,
2007,Salem,4180.6,,,,,,,,,,,,,,,,,,,,
2007,Somerset,8363,,,,,,,,,,,,,,,,,,,,
2007,Sussex,6089,,,,,,,,,,,,,,,,,,,,
2007,Union,7911.5,,,,,,,,,,,,,,,,,,,,
2007,Warren,5847.2,,,,,,,,,,,,,,,,,,,,
2007,AVG,6339.36,,,,,,,,,,,,,,,,,,,,
2008,Atlantic,4650.9,,,,,,,,,,,,,,,,,,,,
2008,Bergen,9378.9,,,,,,,,,,,,,,,,,,,,
2008,Burlington,5727.3,,,,,,,,,,,,,,,,,,,,
2008,Camden,5311.3,,,,,,,,,,,,,,,,,,,,
2008,Cape May,4103.8,,,,,,,,,,,,,,,,,,,,
2008,Cumberland,3595.2,,,,,,,,,,,,,,,,,,,,
2008,Essex,9136.7,,,,,,,,,,,,,,,,,,,,
2008,Gloucester,5516.7,,,,,,,,,,,,,,,,,,,,
2008,Hudson,6293.5,,,,,,,,,,,,,,,,,,,,
2008,Hunterdon,8687.8,,,,,,,,,,,,,,,,,,,,
2008,Mercer,6769.8,,,,,,,,,,,,,,,,,,,,
2008,Middlesex,6374.1,,,,,,,,,,,,,,,,,,,,
2008,Monmouth,7563.8,,,,,,,,,,,,,,,,,,,,
2008,Morris,8670.1,,,,,,,,,,,,,,,,,,,,
2008,Ocean,4943.3,,,,,,,,,,,,,,,,,,,,
2008,Passaic,7774.6,,,,,,,,,,,,,,,,,,,,
2008,Salem,4436.5,,,,,,,,,,,,,,,,,,,,
2008,Somerset,8540.1,,,,,,,,,,,,,,,,,,,,
2008,Sussex,6307.8,,,,,,,,,,,,,,,,,,,,
2008,Union,8337.9,,,,,,,,,,,,,,,,,,,,
2008,Warren,6053.7,,,,,,,,,,,,,,,,,,,,
