Year	Country	Percentage
2000	China	21.8
2001	China	21.8
2002	China	21.8
2003	China	20.2
2004	China	20.2
2005	China	20.3
2006	China	20.3
2007	China	20.6
2008	China	21.3
2009	China	21.3
2010	China	21.3
2011	China	21.3
2012	China	21.3
2013	China	23.4
2014	China	23.4
2000	Europe	19.45
2001	Europe	19.39
2002	Europe	20.05
2003	Europe	21.05
2004	Europe	21.7
2005	Europe	21.96
2006	Europe	22.6
2007	Europe	23.48
2008	Europe	23.74
2009	Europe	24.02
2010	Europe	24.16
2011	Europe	24.86
2012	Europe	25.72
2013	Europe	27.09
2014	Europe	27.54
2000	India	9
2001	India	8.8
2002	India	8.8
2003	India	8.8
2004	India	8.3
2005	India	8.3
2006	India	9.3
2007	India	9.1
2008	India	9.1
2009	India	10.8
2010	India	10.8
2011	India	11
2012	India	11
2013	India	11
2014	India	11.4
2000	USA	0
2001	USA	14
2002	USA	13.8
2003	USA	14.3
2004	USA	14.9
2005	USA	15.2
2006	USA	16.3
2007	USA	16.8
2008	USA	17
2009	USA	16
2010	USA	16.8
2011	USA	16.8
2012	USA	18
2013	USA	17.9
2014	USA	18.3
