Date	Volatility
13-Feb-15	14.69
12-Feb-15	15.34
11-Feb-15	16.96
10-Feb-15	17.23
9-Feb-15	18.55
6-Feb-15	17.29
5-Feb-15	16.85
4-Feb-15	18.33
3-Feb-15	17.33
2-Feb-15	19.43
30-Jan-15	20.97
29-Jan-15	18.76
28-Jan-15	20.44
27-Jan-15	17.22
26-Jan-15	15.52
23-Jan-15	16.66
22-Jan-15	16.4
21-Jan-15	18.85
20-Jan-15	19.89
16-Jan-15	20.95
15-Jan-15	22.39
14-Jan-15	21.48
13-Jan-15	20.56
12-Jan-15	19.6
9-Jan-15	17.55
8-Jan-15	17.01
7-Jan-15	19.31
6-Jan-15	21.12
5-Jan-15	19.92
2-Jan-15	17.79
31-Dec-14	19.2
30-Dec-14	15.92
29-Dec-14	15.06
26-Dec-14	14.5
24-Dec-14	14.37
23-Dec-14	14.8
22-Dec-14	15.25
19-Dec-14	16.49
18-Dec-14	16.81
17-Dec-14	19.44
16-Dec-14	23.57
15-Dec-14	20.42
12-Dec-14	21.08
11-Dec-14	20.08
10-Dec-14	18.53
9-Dec-14	15.35
8-Dec-14	14.21
5-Dec-14	11.89
4-Dec-14	12.38
3-Dec-14	12.5
2-Dec-14	12.85
1-Dec-14	14.16
28-Nov-14	13.33
26-Nov-14	12.07
25-Nov-14	12.25
24-Nov-14	12.62
21-Nov-14	12.9
20-Nov-14	13.58
19-Nov-14	13.96
18-Nov-14	13.86
17-Nov-14	13.99
14-Nov-14	13.31
13-Nov-14	13.79
12-Nov-14	13.02
11-Nov-14	12.92
10-Nov-14	12.67
7-Nov-14	13.12
6-Nov-14	13.67
5-Nov-14	14.17
4-Nov-14	14.89
3-Nov-14	14.73
31-Oct-14	14.03
30-Oct-14	14.52
29-Oct-14	15.15
28-Oct-14	14.39
27-Oct-14	16.04
24-Oct-14	16.11
23-Oct-14	16.53
22-Oct-14	17.87
21-Oct-14	16.08
20-Oct-14	18.57
17-Oct-14	21.99
16-Oct-14	25.2
15-Oct-14	25.27
14-Oct-14	22.79
13-Oct-14	24.64
10-Oct-14	21.24
9-Oct-14	18.76
8-Oct-14	15.11
7-Oct-14	17.2
6-Oct-14	15.46
3-Oct-14	14.55
2-Oct-14	16.16
1-Oct-14	16.71
30-Sep-14	16.31
29-Sep-14	15.98
26-Sep-14	14.85
25-Sep-14	15.64
24-Sep-14	13.27
23-Sep-14	14.93
22-Sep-14	13.69
19-Sep-14	12.11
18-Sep-14	12.03
17-Sep-14	12.65
16-Sep-14	12.73
15-Sep-14	14.12
12-Sep-14	13.31
11-Sep-14	12.8
10-Sep-14	12.88
9-Sep-14	13.5
8-Sep-14	12.66
5-Sep-14	12.09
4-Sep-14	12.64
3-Sep-14	12.36
2-Sep-14	12.25
29-Aug-14	12.09
28-Aug-14	12.05
27-Aug-14	11.78
26-Aug-14	11.63
25-Aug-14	11.7
22-Aug-14	11.47
21-Aug-14	11.76
20-Aug-14	11.78
19-Aug-14	12.21
18-Aug-14	12.32
15-Aug-14	13.15
14-Aug-14	12.42
13-Aug-14	12.9
12-Aug-14	14.13
11-Aug-14	14.23
8-Aug-14	15.77
7-Aug-14	16.66
6-Aug-14	16.37
5-Aug-14	16.87
4-Aug-14	15.12
1-Aug-14	17.03
31-Jul-14	16.95
30-Jul-14	13.33
29-Jul-14	13.28
28-Jul-14	12.56
25-Jul-14	12.69
24-Jul-14	11.84
23-Jul-14	11.52
22-Jul-14	12.24
21-Jul-14	12.81
18-Jul-14	12.06
17-Jul-14	14.54
16-Jul-14	11
15-Jul-14	11.96
14-Jul-14	11.82
11-Jul-14	12.08
10-Jul-14	12.59
9-Jul-14	11.65
8-Jul-14	11.98
7-Jul-14	11.33
3-Jul-14	10.32
2-Jul-14	10.82
1-Jul-14	11.15
30-Jun-14	11.57
27-Jun-14	11.26
26-Jun-14	11.63
25-Jun-14	11.59
24-Jun-14	12.13
23-Jun-14	10.98
20-Jun-14	10.85
19-Jun-14	10.62
18-Jun-14	10.61
17-Jun-14	12.06
16-Jun-14	12.65
13-Jun-14	12.18
12-Jun-14	12.56
11-Jun-14	11.6
10-Jun-14	10.99
9-Jun-14	11.15
6-Jun-14	10.73
5-Jun-14	11.68
4-Jun-14	12.08
3-Jun-14	11.87
2-Jun-14	11.58
30-May-14	11.4
29-May-14	11.57
28-May-14	11.68
27-May-14	11.51
23-May-14	11.36
22-May-14	12.03
21-May-14	11.91
20-May-14	12.96
19-May-14	12.42
16-May-14	12.44
15-May-14	13.17
14-May-14	12.17
13-May-14	12.13
12-May-14	12.23
9-May-14	12.92
8-May-14	13.43
7-May-14	13.4
6-May-14	13.8
5-May-14	13.29
2-May-14	12.91
1-May-14	13.25
30-Apr-14	13.41
29-Apr-14	13.71
28-Apr-14	13.97
25-Apr-14	14.06
24-Apr-14	13.32
23-Apr-14	13.27
22-Apr-14	13.19
21-Apr-14	13.25
17-Apr-14	13.36
16-Apr-14	14.18
15-Apr-14	15.61
14-Apr-14	16.18
11-Apr-14	17.03
10-Apr-14	15.89
9-Apr-14	13.82
8-Apr-14	14.89
7-Apr-14	15.57
4-Apr-14	13.96
3-Apr-14	13.37
2-Apr-14	13.09
1-Apr-14	13.1
31-Mar-14	13.88
28-Mar-14	14.41
27-Mar-14	14.62
26-Mar-14	14.93
25-Mar-14	14.02
24-Mar-14	15.09
21-Mar-14	15
20-Mar-14	14.52
19-Mar-14	15.12
18-Mar-14	14.52
17-Mar-14	15.64
14-Mar-14	17.82
13-Mar-14	16.22
12-Mar-14	14.47
11-Mar-14	14.8
10-Mar-14	14.2
7-Mar-14	14.11
6-Mar-14	14.21
5-Mar-14	13.89
4-Mar-14	14.1
3-Mar-14	16
28-Feb-14	14
27-Feb-14	14.04
26-Feb-14	14.35
25-Feb-14	13.67
24-Feb-14	14.23
21-Feb-14	14.68
20-Feb-14	14.79
19-Feb-14	15.5
18-Feb-14	13.87
14-Feb-14	13.57
13-Feb-14	14.14
12-Feb-14	14.3
11-Feb-14	14.51
10-Feb-14	15.26
7-Feb-14	15.31
6-Feb-14	17.23
5-Feb-14	19.95
4-Feb-14	19.11
3-Feb-14	21.44
31-Jan-14	18.41
30-Jan-14	17.29
29-Jan-14	17.35
28-Jan-14	15.8
27-Jan-14	17.42
24-Jan-14	17.88
23-Jan-14	13.77
22-Jan-14	12.84
21-Jan-14	12.87
17-Jan-14	12.44
16-Jan-14	12.53
15-Jan-14	12.28
14-Jan-14	12.28
13-Jan-14	13.28
10-Jan-14	12.14
9-Jan-14	12.89
8-Jan-14	12.87
7-Jan-14	12.92
6-Jan-14	13.55
3-Jan-14	13.76
2-Jan-14	14.23
31-Dec-13	13.72
30-Dec-13	13.56
27-Dec-13	12.46
26-Dec-13	12.33
24-Dec-13	12.48
23-Dec-13	13.04
20-Dec-13	13.79
19-Dec-13	14.15
18-Dec-13	13.8
17-Dec-13	16.21
16-Dec-13	16.03
13-Dec-13	15.76
12-Dec-13	15.54
11-Dec-13	15.35
10-Dec-13	13.91
9-Dec-13	13.49
6-Dec-13	13.79
5-Dec-13	15.08
4-Dec-13	14.7
3-Dec-13	14.55
2-Dec-13	14.23
29-Nov-13	13.7
27-Nov-13	12.98
26-Nov-13	12.81
25-Nov-13	12.79
22-Nov-13	12.26
21-Nov-13	12.66
20-Nov-13	13.4
19-Nov-13	13.42
18-Nov-13	13.1
15-Nov-13	12.19
14-Nov-13	12.37
13-Nov-13	12.52
12-Nov-13	12.82
11-Nov-13	12.53
8-Nov-13	12.9
7-Nov-13	13.91
6-Nov-13	12.68
5-Nov-13	13.27
4-Nov-13	12.93
1-Nov-13	13.28
31-Oct-13	13.75
30-Oct-13	13.65
29-Oct-13	13.41
28-Oct-13	13.31
25-Oct-13	13.09
24-Oct-13	13.2
23-Oct-13	13.42
22-Oct-13	13.33
21-Oct-13	13.16
18-Oct-13	13.04
17-Oct-13	13.48
16-Oct-13	14.71
15-Oct-13	18.66
14-Oct-13	16.07
11-Oct-13	15.72
10-Oct-13	16.48
9-Oct-13	19.6
8-Oct-13	20.34
7-Oct-13	19.41
4-Oct-13	16.74
3-Oct-13	17.67
2-Oct-13	16.6
1-Oct-13	15.54
30-Sep-13	16.6
27-Sep-13	15.46
26-Sep-13	14.06
25-Sep-13	14.01
24-Sep-13	14.08
23-Sep-13	14.31
20-Sep-13	13.12
19-Sep-13	13.16
18-Sep-13	13.59
17-Sep-13	14.53
16-Sep-13	14.42
13-Sep-13	14.16
12-Sep-13	14.29
11-Sep-13	13.82
10-Sep-13	14.53
9-Sep-13	15.63
6-Sep-13	15.85
5-Sep-13	15.77
4-Sep-13	15.88
3-Sep-13	16.61
30-Aug-13	17.01
29-Aug-13	16.81
28-Aug-13	16.49
27-Aug-13	16.82
26-Aug-13	14.99
23-Aug-13	14.06
22-Aug-13	14.76
21-Aug-13	15.94
20-Aug-13	14.91
19-Aug-13	15.1
16-Aug-13	14.37
15-Aug-13	14.73
14-Aug-13	13.04
13-Aug-13	12.31
12-Aug-13	12.81
9-Aug-13	13.41
8-Aug-13	12.73
7-Aug-13	12.98
6-Aug-13	12.72
5-Aug-13	11.84
2-Aug-13	11.98
1-Aug-13	12.99
31-Jul-13	13.45
30-Jul-13	13.39
29-Jul-13	13.39
26-Jul-13	12.72
25-Jul-13	12.97
24-Jul-13	13.18
23-Jul-13	12.66
22-Jul-13	12.29
19-Jul-13	12.54
18-Jul-13	13.77
17-Jul-13	13.78
16-Jul-13	14.42
15-Jul-13	13.79
12-Jul-13	13.84
11-Jul-13	14.01
10-Jul-13	14.21
9-Jul-13	14.35
8-Jul-13	14.78
5-Jul-13	14.89
3-Jul-13	16.2
2-Jul-13	16.44
1-Jul-13	16.37
28-Jun-13	16.86
27-Jun-13	16.86
26-Jun-13	17.21
25-Jun-13	18.47
24-Jun-13	20.11
21-Jun-13	18.9
20-Jun-13	20.49
19-Jun-13	16.64
18-Jun-13	16.61
17-Jun-13	16.8
14-Jun-13	17.15
13-Jun-13	16.41
12-Jun-13	18.59
11-Jun-13	17.07
10-Jun-13	15.44
7-Jun-13	15.14
6-Jun-13	16.63
5-Jun-13	17.5
4-Jun-13	16.27
3-Jun-13	16.28
31-May-13	16.3
30-May-13	14.53
29-May-13	14.83
28-May-13	14.48
24-May-13	13.99
23-May-13	14.07
22-May-13	13.82
21-May-13	13.37
20-May-13	13.02
17-May-13	12.45
16-May-13	13.07
15-May-13	12.81
14-May-13	12.77
13-May-13	12.55
10-May-13	12.59
9-May-13	13.13
8-May-13	12.66
7-May-13	12.83
6-May-13	12.66
3-May-13	12.85
2-May-13	13.59
1-May-13	14.49
30-Apr-13	13.52
29-Apr-13	13.71
26-Apr-13	13.61
25-Apr-13	13.62
24-Apr-13	13.61
23-Apr-13	13.48
22-Apr-13	14.39
19-Apr-13	14.97
18-Apr-13	17.56
17-Apr-13	16.51
16-Apr-13	13.96
15-Apr-13	17.27
12-Apr-13	12.06
11-Apr-13	12.24
10-Apr-13	12.36
9-Apr-13	12.84
8-Apr-13	13.19
5-Apr-13	13.92
4-Apr-13	13.89
3-Apr-13	14.21
2-Apr-13	12.76
